,Dato,Hjemmelag,Bortelag,Tilskuertall,Mål_hjemmelag,Mål_bortelag,Resultat,Form1,Form3,Form5,Mål forrige hjemmekamp,TV-kanal,Ukedag,16. mai,Derby,Temp,Vind,Precip,Temp.dist,Wind.dist,Precip.dist
0,01.04.2017,Kristiansund BK,Molde,4 106,0,1,T,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Norge,6,0,1.0,3.9,0.7,10.5,35.13357889282683,35.13357889282683,57.666536794393146
1,02.04.2017,Lillestrøm,Sandefjord,8 503,2,1,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,7,0,,5.3,1.1,3.3,52.678549110759114,52.678549110759114,53.816663086609736
2,02.04.2017,Tromsø,Brann,3 264,1,1,U,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Norge,7,0,,-7.3,1.6,0,37.717269397763395,42.09709051550441,113.35405751673258
3,02.04.2017,Sarpsborg 08,Sogndal,4 402,3,1,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,7,0,,5.1,1.8,0,24.701992008855296,24.701992008855296,31.526486811123842
4,02.04.2017,Stabæk,Aalesund,4 049,3,1,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,7,0,,-,-,-,,,
5,02.04.2017,Strømsgodset,Haugesund,5 575,3,1,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,7,0,,4.2,0.3,0,8.913903973274172,8.913903973274172,8.913903973274172
6,02.04.2017,Rosenborg,Odd,16 804,3,0,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Norge,7,0,,5.5,1.9,4,14.23851324410345,13.603099865910426,14.23851324410345
7,03.04.2017,Vålerenga,Viking,8 559,1,0,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,MAX,1,0,,5.5,0.6,0,8.216462809598152,7.095469626515939,6.568700558666896
8,05.04.2017,Sandefjord,Rosenborg,6 103,0,3,T,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,MAX,3,0,,-,-,-,,,
9,05.04.2017,Molde,Lillestrøm,6 635,2,1,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Norge,3,0,,-1.4,12.9,21.2,38.887766885616344,38.887766885616344,8.826837923081913
10,05.04.2017,Aalesund,Sarpsborg 08,5 363,1,3,T,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,3,0,,3.2,3.9,15.4,33.10719025177605,33.10719025177605,2.6058748176459994
11,05.04.2017,Odd,Kristiansund BK,9 049,2,0,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,3,0,,3.2,4.4,0,13.115007011078326,13.115007011078326,11.949518975619416
12,05.04.2017,Sogndal,Stabæk,2 237,4,1,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,3,0,,3.4,8.9,30.2,48.94796949425968,48.94796949425968,48.94796949425968
13,06.04.2017,Brann,Strømsgodset,8 706,3,0,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,MAX,4,0,,4.6,1.7,6,12.167235925062082,16.849946387066986,10.850327030298939
14,06.04.2017,Haugesund,Vålerenga,4 421,4,3,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Norge,4,0,,3.5,0.5,19.8,26.57988818367971,18.69480043695725,5.46538547670551
15,06.04.2017,Viking,Tromsø,6 321,1,2,T,U,For få kamper,For få kamper,Første hjemmekamp i sesongen,Eurosport Player,4,0,,5.5,3.8,0.2,11.227874911754627,10.926791620396628,8.710488394410426
16,08.04.2017,Rosenborg,Molde,20 843,2,1,V,V,For få kamper,For få kamper,3,Eurosport Norge,6,0,,1.2,2.5,3.2,14.23851324410345,14.23851324410345,14.23851324410345
17,09.04.2017,Vålerenga,Sandefjord,6 778,1,2,T,T,For få kamper,For få kamper,1,Eurosport Norge,7,0,,6.5,0.6,0,8.216462809598152,7.095469626515939,6.568700558666896
18,09.04.2017,Lillestrøm,Haugesund,5 090,0,2,T,V,For få kamper,For få kamper,2,Eurosport Player,7,0,,5.9,5.5,0,52.678549110759114,52.678549110759114,53.816663086609736
19,09.04.2017,Sarpsborg 08,Viking,4 330,3,0,V,T,For få kamper,For få kamper,3,Eurosport Player,7,0,,-0.5,1.7,0.2,24.701992008855296,33.203082435582665,31.526486811123842
20,09.04.2017,Stabæk,Odd,3 721,2,0,V,V,For få kamper,For få kamper,3,Eurosport Player,7,0,,-,-,-,,,
21,09.04.2017,Tromsø,Sogndal,3 082,3,0,V,V,For få kamper,For få kamper,1,Eurosport Player,7,0,,-2.6,13.9,0,37.717269397763395,42.09709051550441,113.35405751673258
22,09.04.2017,Strømsgodset,Aalesund,5 813,1,1,U,T,For få kamper,For få kamper,3,Eurosport Norge,7,0,,5.9,0.5,0,8.913903973274172,8.913903973274172,8.913903973274172
23,10.04.2017,Kristiansund BK,Brann,3 905,1,0,V,V,For få kamper,For få kamper,0,MAX,1,0,,2,1.2,13.5,35.13357889282683,35.13357889282683,57.666536794393146
24,17.04.2017,Molde,Vålerenga,7 226,4,0,V,V,VVT,For få kamper,2,MAX,1,0,,-2.7,2.9,0,38.887766885616344,38.887766885616344,8.826837923081913
25,17.04.2017,Brann,Haugesund,11 348,3,1,V,T,TVV,For få kamper,3,Eurosport Norge,1,0,,-0.3,2.6,3.1,12.167235925062082,16.849946387066986,10.850327030298939
26,17.04.2017,Aalesund,Lillestrøm,5 370,3,1,V,T,TVV,For få kamper,1,Eurosport Player,1,0,,-1,0.4,0,33.10719025177605,33.10719025177605,2.6058748176459994
27,17.04.2017,Sandefjord,Kristiansund BK,3 356,2,0,V,T,TTV,For få kamper,0,Eurosport Player,1,0,,-,-,-,,,
28,17.04.2017,Sogndal,Strømsgodset,2 482,1,1,U,V,VVV,For få kamper,4,Eurosport Player,1,0,,2.2,0.4,0,48.94796949425968,10.251308363144716,48.94796949425968
29,17.04.2017,Stabæk,Sarpsborg 08,3 870,3,0,V,V,VTV,For få kamper,2,Eurosport Player,1,0,,-,-,-,,,
30,17.04.2017,Viking,Rosenborg,6 804,0,1,T,V,VTV,For få kamper,1,MAX,1,0,,1.2,0.5,0.8,11.227874911754627,10.926791620396628,8.710488394410426
31,17.04.2017,Odd,Tromsø,6 272,1,0,V,V,VVV,For få kamper,2,Eurosport Norge,1,0,,1.7,1.6,0,13.115007011078326,13.115007011078326,11.949518975619416
32,22.04.2017,Strømsgodset,Sandefjord,6 375,1,0,V,V,VTT,For få kamper,1,Eurosport Norge,6,0,,5,1.6,0,8.913903973274172,8.913903973274172,8.913903973274172
33,23.04.2017,Rosenborg,Aalesund,16 948,0,0,U,V,VUT,For få kamper,2,Eurosport Norge,7,0,,3.5,1.8,0,13.603099865910426,14.23851324410345,14.23851324410345
34,23.04.2017,Sarpsborg 08,Kristiansund BK,4 091,5,1,V,V,VVT,For få kamper,3,Eurosport Player,7,0,,-4.5,4.9,0,24.701992008855296,33.203082435582665,31.526486811123842
35,23.04.2017,Tromsø,Stabæk,3 447,0,3,T,V,VVV,For få kamper,3,Eurosport Player,7,0,,-1.6,7.1,0,37.717269397763395,42.09709051550441,113.35405751673258
36,23.04.2017,Viking,Odd,6 914,3,0,V,V,VVV,For få kamper,0,Eurosport Player,7,0,,2.9,7.8,1.3,11.227874911754627,10.926791620396628,8.710488394410426
37,23.04.2017,Vålerenga,Sogndal,5 844,3,0,V,U,UVV,For få kamper,1,Eurosport Player,7,0,,2.4,4.2,0,8.216462809598152,7.095469626515939,6.568700558666896
38,23.04.2017,Lillestrøm,Brann,5 777,0,2,T,V,VTV,For få kamper,0,Eurosport Norge,7,0,,4.5,3.3,0,52.678549110759114,52.678549110759114,53.328534614890636
39,24.04.2017,Haugesund,Molde,3 788,0,0,U,V,VTV,For få kamper,4,MAX,1,0,,6,4.4,16.8,26.57988818367971,18.69480043695725,5.46538547670551
40,29.04.2017,Brann,Viking,12 613,1,1,U,T,TVV,TVVVU,3,Eurosport Norge,6,0,,3.5,1.7,0,12.167235925062082,16.849946387066986,10.850327030298939
41,30.04.2017,Aalesund,Tromsø,5 562,3,1,V,T,TVV,TVVTU,3,Eurosport Norge,7,0,,-0.1,1.1,0,33.10719025177605,33.10719025177605,2.6058748176459994
42,30.04.2017,Kristiansund BK,Strømsgodset,3 658,2,0,V,V,VVV,VVVVT,1,Eurosport Player,7,0,,-0.2,1,0,35.13357889282683,18.251197865960034,57.666536794393146
43,30.04.2017,Sandefjord,Molde,4 340,3,3,U,V,VVT,VVTTV,2,Eurosport Player,7,0,,-,-,-,,,
44,30.04.2017,Sogndal,Lillestrøm,3 024,0,1,T,T,TVT,TVTVV,1,Eurosport Player,7,0,,4.7,3,0,48.94796949425968,48.94796949425968,48.94796949425968
45,30.04.2017,Stabæk,Haugesund,4 001,0,3,T,U,UVT,UVTVV,3,Eurosport Player,7,0,,-,-,-,,,
