;Dato;Hjemmelag;Bortelag;Tilskuertall;Mål_hjemmelag;Mål_bortelag;Resultat;Form1;Form3;Form5;Mål forrige hjemmekamp;TV-kanal;Stadion;Ukedag;16. mai;Derby;Temp;Vind;Precip;Temp.dist;Wind.dist;Precip.dist
80;21.05.2018;Haugesund;Rosenborg;6 502;1;2;T;U;UVU;UVUTV;3;Eurosport Norge;Haugesund Stadion;1;0;;11,4;0,5;0;26,59;18,72;5,47
91;27.05.2018;Haugesund;Tromsø;4 192;1;0;V;T;TUV;TUVUT;1;Eurosport Player;Haugesund Stadion;7;0;;10,3;0,2;0;26,59;18,72;5,47
107;24.06.2018;Haugesund;Lillestrøm;4 311;2;2;U;U;UVU;UVUVT;1;Eurosport Player;Haugesund Stadion;7;0;;10,5;0,7;0;26,59;18,72;5,47
122;08.07.2018;Haugesund;Sandefjord;3 504;4;2;V;V;VUT;VUTVT;2;Eurosport Pluss;Haugesund Stadion;7;0;;9,7;3,2;0,1;26,59;18,72;5,47
143;13.08.2018;Haugesund;Vålerenga;4 083;1;0;V;T;TVV;TVVUT;4;MAX;Haugesund Stadion;1;0;;10,4;1,9;0;26,59;18,72;5,47
155;26.08.2018;Haugesund;Stabæk;3 822;2;0;V;U;UVT;UVTVV;1;Eurosport Pluss;Haugesund Stadion;7;0;;8,0;1,7;3,2;26,59;18,72;5,47
168;15.09.2018;Haugesund;Brann;7 523;1;3;T;V;VVU;VVUVT;2;Eurosport Norge;Haugesund Stadion;6;0;;7,9;1,7;5,5;26,59;18,72;5,47
186;30.09.2018;Haugesund;Bodø/Glimt;4 563;1;0;V;V;VTV;VTVVU;1;Eurosport Pluss;Haugesund Stadion;7;0;;9,8;3,9;0;26,59;18,72;5,30
218;04.11.2018;Haugesund;Ranheim TF;3 430;2;0;V;V;VVT;VVTVV;2;Eurosport Pluss;Haugesund Stadion;7;0;;10,6;8;2,3;26,59;18,72;5,30
11;18.03.2018;Vålerenga;Odd;6 063;2;1;V;T;For få kamper;For få kamper;Første hjemmekamp i sesongen;Eurosport Norge;Intility Arena;7;0;;-12,5;2,5;0,1;4,91;0,63;4,91
20;07.04.2018;Vålerenga;Strømsgodset;9 304;1;4;T;U;For få kamper;For få kamper;2;Eurosport Norge;Intility Arena;6;0;1;0,5;1,2;0;4,91;0,63;4,91
44;22.04.2018;Vålerenga;Molde;8 436;0;0;U;V;VVV;VVVTV;1;Eurosport Norge;Intility Arena;7;0;;2,8;1,9;0;4,91;0,63;4,91
57;06.05.2018;Vålerenga;Haugesund;7 708;2;2;U;T;TVV;TVVUT;0;Eurosport Norge;Intility Arena;7;0;;8,4;2,3;0;4,91;0,63;4,91
79;16.05.2018;Vålerenga;Stabæk;11 124;1;0;V;T;TVV;TVVUV;2;Eurosport Player;Intility Arena;3;1;1;13,0;2,4;0;4,91;0,63;4,91
88;26.05.2018;Vålerenga;Lillestrøm;13 527;1;0;V;U;UVT;UVTVV;1;Eurosport Norge;Intility Arena;6;0;1;15,1;2;0;4,91;0,63;4,91
112;30.06.2018;Vålerenga;Bodø/Glimt;7 872;2;2;U;U;UUV;UUVVT;1;Eurosport Norge;Intility Arena;6;0;;12,9;5,4;0;4,91;0,63;4,91
133;05.08.2018;Vålerenga;Sandefjord;7 008;2;2;U;V;VTU;VTUTV;2;Eurosport Pluss;Intility Arena;7;0;;17,9;0,7;0;4,91;0,63;4,91
150;19.08.2018;Vålerenga;Tromsø;8 254;3;0;V;V;VTV;VTVVT;2;Eurosport Norge;Intility Arena;7;0;;11,3;2,4;0;4,91;0,63;4,91
158;26.08.2018;Vålerenga;Brann;11 759;2;0;V;V;VVV;VVVUT;3;TVNorge;Intility Arena;7;0;;8,4;2,6;3,6;4,91;0,63;4,91
174;16.09.2018;Vålerenga;Rosenborg;14 740;2;3;T;V;VVT;VVTUT;2;TVNorge;Intility Arena;7;0;;7,4;2,9;3,7;4,91;0,63;4,91
185;30.09.2018;Vålerenga;Start;8 200;3;2;V;T;TVU;TVUTU;2;Eurosport Norge;Intility Arena;7;0;;8,0;4,6;0;4,91;0,63;4,91
202;21.10.2018;Vålerenga;Kristiansund BK;7 927;0;2;T;V;VVV;VVVVU;3;Eurosport Norge;Intility Arena;7;0;;7,0;0,7;0;4,91;0,63;4,91
221;04.11.2018;Vålerenga;Sarpsborg 08;7 918;0;0;U;V;VUV;VUVTV;0;Eurosport Pluss;Intility Arena;7;0;;8,4;5,9;0,2;4,91;0,63;2,66
239;24.11.2018;Vålerenga;Ranheim TF;7 860;2;1;V;T;TVV;TVVUV;0;Eurosport Pluss;Intility Arena;6;0;;-7,0;3,8;0;4,91;0,63;2,66
0;11.03.2018;Strømsgodset;Stabæk;5 199;2;2;U;Første kamp i sesongen;For få kamper;For få kamper;Første hjemmekamp i sesongen;Eurosport Norge;Marienlyst stadion;7;0;;-4,5;0,8;0,9;8,91;8,91;1,45
12;02.04.2018;Strømsgodset;Brann;5 873;1;1;U;U;For få kamper;For få kamper;2;MAX;Marienlyst stadion;1;0;;-2,6;1,5;0;8,91;8,91;1,45
35;15.04.2018;Strømsgodset;Odd;5 588;3;0;V;V;VUV;For få kamper;1;Eurosport Player;Marienlyst stadion;7;0;;3,0;0,5;0;8,91;8,91;1,45
231;11.11.2018;Strømsgodset;Lillestrøm;5 695;2;2;U;U;UVU;UVUUV;2;Eurosport Pluss;Marienlyst stadion;7;0;;8,7;3,4;14,9;8,91;8,91;1,45
