,Dato,Hjemmelag,Bortelag,Tilskuertall,Mål hjemmelag,Mål bortelag
314,30.04.2015,Sandefjord,Viking,3 442,1,2
315,04.05.2015,Viking,Molde,7 086,2,1
316,10.05.2015,Viking,Odd,12 473,1,1
317,13.05.2015,Haugesund,Viking,6 634,0,2
318,16.05.2015,Viking,Start,14 128,1,0
319,25.05.2015,Aalesund,Viking,6 197,0,4
320,31.05.2015,Viking,Vålerenga,11 519,3,4
321,07.06.2015,Lillestrøm,Viking,4 938,2,1
322,21.06.2015,Bodø/Glimt,Viking,2 660,0,3
323,28.06.2015,Viking,Sarpsborg 08,8 822,3,1
324,05.07.2015,Strømsgodset,Viking,7 019,4,1
325,11.07.2015,Viking,Aalesund,7 642,4,1
326,24.07.2015,Start,Viking,8 871,0,3
327,31.07.2015,Viking,Haugesund,9 662,0,1
328,08.08.2015,Sarpsborg 08,Viking,3 986,0,2
329,15.08.2015,Viking,Bodø/Glimt,9 875,2,1
330,23.08.2015,Odd,Viking,8 447,1,0
331,29.08.2015,Viking,Sandefjord,8 884,2,0
332,13.09.2015,Vålerenga,Viking,7 198,2,4
333,18.09.2015,Viking,Strømsgodset,14 463,1,1
334,27.09.2015,Rosenborg,Viking,14 611,2,0
335,04.10.2015,Viking,Lillestrøm,10 023,1,0
336,18.10.2015,Tromsø,Viking,3 430,3,1
337,25.10.2015,Viking,Stabæk,10 549,2,1
338,01.11.2015,Molde,Viking,8 220,4,1
339,08.11.2015,Viking,Mjøndalen,10 623,3,1
340,14.03.2016,Vålerenga,Viking,7 573,0,2
341,20.03.2016,Viking,Sarpsborg 08,8 536,0,0
342,02.04.2016,Start,Viking,6 112,0,1
343,10.04.2016,Viking,Odd,7 995,0,2
344,17.04.2016,Aalesund,Viking,5 798,1,2
345,20.04.2016,Viking,Brann,11 089,0,1
346,24.04.2016,Rosenborg,Viking,15 985,4,0
347,01.05.2016,Viking,Haugesund,9 032,3,2
348,07.05.2016,Viking,Tromsø,7 302,2,0
349,12.05.2016,Stabæk,Viking,3 289,1,0
350,16.05.2016,Viking,Sogndal,11 321,0,0
351,22.05.2016,Lillestrøm,Viking,4 081,1,2
352,29.05.2016,Viking,Bodø/Glimt,10 165,2,0
353,03.07.2016,Molde,Viking,8 211,0,1
354,09.07.2016,Viking,Strømsgodset,7 419,0,1
355,16.07.2016,Haugesund,Viking,6 077,4,1
356,24.07.2016,Odd,Viking,6 991,2,2
357,07.08.2016,Sogndal,Viking,2 906,1,2
358,11.08.2016,Viking,Rosenborg,7 843,0,2
359,14.08.2016,Viking,Stabæk,7 269,2,2
360,21.08.2016,Tromsø,Viking,3 212,2,1
361,28.08.2016,Viking,Lillestrøm,7 756,2,2
362,10.09.2016,Brann,Viking,11 674,0,0
363,17.09.2016,Viking,Molde,9 681,1,0
364,24.09.2016,Sarpsborg 08,Viking,4 027,1,0
365,02.10.2016,Viking,Start,8 371,2,0
366,14.10.2016,Strømsgodset,Viking,6 645,1,1
367,21.10.2016,Viking,Aalesund,7 069,2,3
368,30.10.2016,Bodø/Glimt,Viking,2 984,0,2
369,06.11.2016,Viking,Vålerenga,11 347,0,2
370,03.04.2017,Vålerenga,Viking,8 559,1,0
371,06.04.2017,Viking,Tromsø,6 321,1,2
372,09.04.2017,Sarpsborg 08,Viking,4 330,3,0
373,17.04.2017,Viking,Rosenborg,6 804,0,1
374,23.04.2017,Viking,Odd,6 914,3,0
375,29.04.2017,Brann,Viking,12 613,1,1
376,07.05.2017,Viking,Sandefjord,7 261,0,2
377,13.05.2017,Sogndal,Viking,2 512,4,0
378,16.05.2017,Viking,Aalesund,8 431,1,2
379,22.05.2017,Stabæk,Viking,3 644,1,1
380,29.05.2017,Strømsgodset,Viking,5 652,4,2
381,04.06.2017,Viking,Kristiansund BK,7 261,2,1
382,18.06.2017,Lillestrøm,Viking,5 714,1,0
383,25.06.2017,Viking,Haugesund,8 234,1,1
384,02.07.2017,Molde,Viking,7 831,3,2
385,09.07.2017,Viking,Sogndal,7 238,1,1
